AGENT,PLAYER,AVG COMBAT SCORE,K,D,A,K/D,ADR,KAST,FK,FD,FDD,HS%,PLANTS,DEFUSES,ECON RATING,,,,,,,,,,,,,,
Jett,aaa2,321,21,8,2,2.62,197.3,0.88,6,2,4,0.22,0,1,106,,,,,,,,,,,,,,
Sova,Artilize,258,17,9,6,1.89,177.3,0.88,2,0,2,0.33,1,1,83,,,,,,,,,,,,,,
Sova,GMT L1gh7,221,12,15,4,0.80,129.2,0.41,2,1,1,0.06,1,1,82,,,,,,,,,,,,,,
Omen,Beans420,216,13,9,7,1.44,153.8,0.88,4,0,4,0.26,2,0,72,,,,,,,,,,,,,,
Cypher,Fawlezz,213,15,8,2,1.88,135.2,0.94,1,1,0,0.48,1,0,79,,,,,,,,,,,,,,
Omen,Malimon,154,11,15,2,0.73,98.9,0.59,0,3,-3,0.36,3,0,38,,,,,,,,,,,,,,
Jett,swindler,154,8,16,4,0.50,100.7,0.71,1,5,-4,0.23,0,0,35,,,,,,,,,,,,,,
Deadlock,VOLATILEdog,133,8,14,1,0.57,77.6,0.41,1,2,-1,0.04,0,1,33,,,,,,,,,,,,,,
Harbour,AlyssaMoonLOL,122,7,8,7,0.88,92.1,0.71,0,1,-1,0.23,8,2,56,,,,,,,,,,,,,,
Astra,Asm0deus,82,3,13,5,0.23,63.5,0.47,0,2,-2,0.14,0,2,25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteakMV,The Robots,Weasley,13,-,4,,Abyss,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
