AGENT,PLAYER,AVG COMBAT SCORE,K,D,A,K/D,ADR,KAST,FK,FD,FDD,HS%,PLANTS,DEFUSES,ECON RATING,,,,,,,,,,,,,,
Neon,GhostaS,435,34,15,7,2.27,266.5,0.78,6,3,3,0.22,1,1,99,,,,,,,,,,,,,,
Jett,FalconZz,272,21,16,7,1.31,179.8,0.74,2,7,-5,0.22,0,0,77,,,,,,,,,,,,,,
Astra,vito,224,17,15,12,1.13,125.7,0.78,4,2,2,0.31,0,2,51,,,,,,,,,,,,,,
Cypher,akko,212,17,15,10,1.13,119.3,0.65,4,1,3,0.13,1,0,47,,,,,,,,,,,,,,
Breach,звифт,184,16,16,5,1,115,0.65,1,4,-3,0.31,1,2,40,,,,,,,,,,,,,,
Cypher,Jan JürgenXXL,181,13,20,3,0.65,117.3,0.57,4,2,2,0.28,0,0,46,,,,,,,,,,,,,,
Gekko,Azore,163,14,17,5,0.82,108.8,0.43,2,1,1,0.3,10,0,44,,,,,,,,,,,,,,
Breach,dopexz,115,9,14,12,0.64,75.4,0.87,0,0,0,0.1,0,1,31,,,,,,,,,,,,,,
Sova,Micha Burger,111,8,12,3,0.67,88.1,0.7,0,3,-3,0.22,8,1,40,,,,,,,,,,,,,,
Brimstone,neo,96,7,16,8,0.44,63.4,0.57,0,0,0,0.06,1,0,28,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Capybaras,Afterhours,,13,-,10,,Fracture,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
