AGENT,PLAYER,AVG COMBAT SCORE,K,D,A,K/D,ADR,KAST,FK,FD,FDD,HS%,PLANTS,DEFUSES,ECON RATING,,,,,,,,,,,,,,
Yoru,obx,358,19,7,4,2.71,269.9,0.93,2,2,0,0.31,0,0,106,,,,,,,,,,,,,,
Viper,Mori,250,15,5,3,3,141.4,0.86,0,0,0,0.24,2,1,65,,,,,,,,,,,,,,
Killjoy,daehkcid,203,10,9,1,1.11,136.8,0.79,4,1,3,0.19,0,0,59,,,,,,,,,,,,,,
Gekko,xornst,186,10,5,6,2,125.6,0.93,4,0,4,0.19,8,0,64,,,,,,,,,,,,,,
Cypher,akko,174,7,13,5,0.54,116,0.57,0,1,-1,0.11,0,0,48,,,,,,,,,,,,,,
Astra,King,158,9,6,5,1.50,129.4,0.93,0,1,-1,0.16,1,0,64,,,,,,,,,,,,,,
Astra,vito,156,6,12,1,0.50,112.8,0.57,2,2,0,0.32,0,0,80,,,,,,,,,,,,,,
Gekko,Micha Burger,152,8,13,5,0.62,98.1,0.71,0,2,-2,0.21,1,0,41,,,,,,,,,,,,,,
Neon,GhostaS,148,7,12,2,0.58,81.9,0.57,2,2,0,0.2,0,0,63,,,,,,,,,,,,,,
Fade,dopexz,94,4,13,1,0.31,62.4,0.64,0,3,-3,0.06,0,0,26,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTL Esports,The Capybaras,,13,-,1,,Pearl,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
