AGENT,PLAYER,AVG COMBAT SCORE,K,D,A,K/D,ADR,KAST,FK,FD,FDD,HS%,PLANTS,DEFUSES,ECON RATING,,,,,,,,,,,,,,
Neon,RaQu,324,25,17,4,1.47,198.6,0.64,7,4,3,0.35,0,2,74,,,,,,,,,,,,,,
Killjoy,edd,315,23,14,3,1.64,192.6,0.73,2,0,2,0.28,1,0,89,,,,,,,,,,,,,,
Jett,Kekse,278,22,16,3,1.38,181.4,0.77,4,4,0,0.32,1,1,85,,,,,,,,,,,,,,
Cypher,Fijipko,200,17,18,3,0.94,132.5,0.59,3,3,0,0.25,1,0,47,,,,,,,,,,,,,,
Yoru,Dan,198,13,18,5,0.72,126.2,0.68,3,5,-2,0.16,1,0,42,,,,,,,,,,,,,,
Astra,Copăc,195,13,16,13,0.81,132,0.77,2,1,1,0.12,4,0,44,,,,,,,,,,,,,,
Astra,Chief419,186,14,15,10,0.93,118.5,0.73,1,1,0,0.13,0,1,44,,,,,,,,,,,,,,
Skye,hmortimore69,177,13,13,11,1,111.9,0.77,0,0,0,0.33,6,1,50,,,,,,,,,,,,,,
Sage,HerrKuss,132,11,14,6,0.79,93.5,0.73,0,3,-3,0.21,3,0,40,,,,,,,,,,,,,,
Fade,H20banana,69,6,16,3,0.38,45.2,0.55,0,1,-1,0.25,3,0,19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Wizards,Eprepia,Sunfish,13,-,9,,Pearl,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
