AGENT,PLAYER,AVG COMBAT SCORE,K,D,A,K/D,ADR,KAST,FK,FD,FDD,HS%,PLANTS,DEFUSES,ECON RATING,,,,,,,,,,,,,,
Killjoy,gumi,322,31,20,3,1.55,212.9,0.75,9,4,5,0.45,0,1,76,,,,,,,,,,,,,,
Iso,Kez,304,30,18,5,1.67,194.8,0.75,4,5,-1,0.24,0,2,72,,,,,,,,,,,,,,
Omen,arn0,279,26,16,10,1.62,191.4,0.68,5,3,2,0.25,0,1,67,,,,,,,,,,,,,,
Cypher,sulphur,252,27,15,5,1.80,155.5,0.75,3,1,2,0.34,0,2,58,,,,,,,,,,,,,,
Raze,RANKED PLAYER,197,19,16,5,1.19,139.9,0.82,4,3,1,0.22,1,0,53,,,,,,,,,,,,,,
Gekko,TehSeaSnek,147,15,20,6,0.75,91.5,0.46,0,5,-5,0.11,11,0,32,,,,,,,,,,,,,,
Neon,Youtube WavyVLR,142,12,19,4,0.63,95.6,0.54,1,1,0,0.1,1,2,33,,,,,,,,,,,,,,
Omen,ste4k,126,12,17,8,0.71,86.1,0.71,0,2,-2,0.36,8,0,33,,,,,,,,,,,,,,
Fade,Juniper,107,10,21,4,0.48,68.5,0.64,1,3,-2,0.04,1,1,22,,,,,,,,,,,,,,
Skye,thirstyhuman,70,3,23,19,0.13,51.6,0.61,1,1,0,0.12,2,0,18,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascent Haters,IntrusiveThots,,15,-,13,,Lotus,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
