AGENT,PLAYER,AVG COMBAT SCORE,K,D,A,K/D,ADR,KAST,FK,FD,FDD,HS%,PLANTS,DEFUSES,ECON RATING,,,,,,,,,,,,,,
Astra,Mengoura,312,24,9,5,2.67,180.3,0.85,4,1,3,0.26,2,2,89,,,,,,,,,,,,,,
Iso,FireBucklerMan,308,23,13,9,1.77,194.3,0.8,4,3,1,0.27,1,1,81,,,,,,,,,,,,,,
Omen,BatSpin,259,18,13,7,1.38,154.1,0.7,0,0,0,0.22,1,1,62,,,,,,,,,,,,,,
Yoru,M1Kii,224,14,16,3,0.88,179.4,0.6,2,5,-3,0.25,1,0,68,,,,,,,,,,,,,,
Sova,magmoz,215,14,13,9,1.08,154.1,0.75,2,1,1,0.15,1,0,59,,,,,,,,,,,,,,
Sova,AVGAN,195,14,18,1,0.78,127.2,0.55,3,2,1,0.18,5,2,46,,,,,,,,,,,,,,
Cypher,cartisexual,141,9,16,4,0.56,98.1,0.45,2,2,0,0.18,0,0,38,,,,,,,,,,,,,,
Neon,fürte,124,9,12,2,0.75,77.2,0.65,2,2,0,0.05,0,0,31,,,,,,,,,,,,,,
Breach,GRAT1S,121,10,11,3,0.91,89,0.65,1,0,1,0.09,3,1,40,,,,,,,,,,,,,,
Iso,karak chai,68,3,17,6,0.18,50,0.55,0,4,-4,0.0,0,0,19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crude Geniuses,Fentinels,Weasley,13,-,7,,Haven,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
