AGENT,PLAYER,AVG COMBAT SCORE,K,D,A,K/D,ADR,KAST,FK,FD,FDD,HS%,PLANTS,DEFUSES,ECON RATING,,,,,,,,,,,,,,
Neon,ChasM,318,26,18,6,1.44,209.8,0.73,6,2,4,0.3,0,0,79,,,,,,,,,,,,,,
Neon,Lionehh,237,19,22,5,0.86,159.1,0.65,8,7,1,0.15,0,0,52,,,,,,,,,,,,,,
Breach,Louis,232,20,15,12,1.33,148.8,0.73,1,2,-1,0.31,2,1,63,,,,,,,,,,,,,,
Viper,Glowing Mote,222,23,17,3,1.35,138.9,0.73,1,0,1,0.27,0,2,57,,,,,,,,,,,,,,
Omen,приветдавайдружи,215,20,16,15,1.25,127.5,0.81,2,2,0,0.13,1,1,48,,,,,,,,,,,,,,
Fade,Casilton,205,19,16,8,1.19,127.8,0.58,2,3,-1,0.19,5,0,49,,,,,,,,,,,,,,
Omen,Glenn Quagmire,178,17,14,7,1.21,117.4,0.58,0,2,-2,0.41,5,1,55,,,,,,,,,,,,,,
Cypher,GChrome,147,12,18,5,0.67,109.2,0.62,1,3,-2,0.25,1,0,43,,,,,,,,,,,,,,
Cypher,howisurday,133,10,19,6,0.53,90.2,0.62,2,1,1,0.1,1,1,33,,,,,,,,,,,,,,
Gekko,CoooolFisch,118,10,21,4,0.48,82.2,0.65,3,4,-1,0.18,6,1,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGeMaxers,ThinkingMansOilers,Wolves,14,-,12,,Lotus,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
