AGENT,PLAYER,AVG COMBAT SCORE,K,D,A,K/D,ADR,KAST,FK,FD,FDD,HS%,PLANTS,DEFUSES,ECON RATING,,,,,,,,,,,,,,
Reyna,jar opener,288,20,14,4,1.43,168.5,0.63,6,4,2,0.4,2,0,61,,,,,,,,,,,,,,
Sova,teefal,273,19,10,6,1.90,188.8,0.74,1,0,1,0.11,1,1,110,,,,,,,,,,,,,,
Cypher,asil,222,15,16,1,0.94,149.9,0.58,1,3,-2,0.4,3,0,55,,,,,,,,,,,,,,
Jett,Owen,221,16,12,2,1.33,148.1,0.74,5,2,3,0.25,1,0,59,,,,,,,,,,,,,,
Omen,Mrconly,183,13,13,5,1,119,0.68,2,3,-1,0.15,1,0,46,,,,,,,,,,,,,,
Astra,GLVNZ felityy,146,10,9,12,1.11,100.8,0.79,1,1,0,0.2,1,2,47,,,,,,,,,,,,,,
Breach,ross,110,5,15,8,0.33,92.6,0.63,0,0,0,0.11,1,1,36,,,,,,,,,,,,,,
KAY/O,Evenkhell,100,5,11,9,0.45,78,0.79,1,2,-1,0.06,2,0,33,,,,,,,,,,,,,,
Cypher,ShowMeSunset,92,8,11,1,0.73,48,0.74,2,4,-2,0.09,1,0,42,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instalockers,Rulebook Rebels,Clove Hater,13,-,6,,Haven,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
