AGENT,PLAYER,AVG COMBAT SCORE,K,D,A,K/D,ADR,KAST,FK,FD,FDD,HS%,PLANTS,DEFUSES,ECON RATING,,,,,,,,,,,,,,
Jett,toryu滅,397,40,19,6,2.11,261.4,0.79,8,8,0,0.31,0,0,95,,,,,,,,,,,,,,
Viper,звифт,268,23,23,10,1,167.8,0.61,6,6,0,0.2,0,0,56,,,,,,,,,,,,,,
Killjoy,F1zzy1,228,21,19,4,1.11,156.9,0.68,3,2,1,0.2,1,0,57,,,,,,,,,,,,,,
Raze,FalconZz,209,20,20,5,1,135.9,0.71,3,5,-2,0.19,0,1,58,,,,,,,,,,,,,,
Fade,jekku,197,20,16,12,1.25,123.6,0.79,1,2,-1,0.25,6,0,51,,,,,,,,,,,,,,
Fade,Azore,189,19,20,7,0.95,129.9,0.57,3,2,1,0.45,1,0,47,,,,,,,,,,,,,,
Omen,Jan JürgenXXL,169,17,20,2,0.85,124.8,0.57,1,2,-1,0.35,0,1,54,,,,,,,,,,,,,,
Omen,Toru,169,17,20,9,0.85,105.2,0.75,2,1,1,0.19,1,0,33,,,,,,,,,,,,,,
Killjoy,neo,133,13,20,4,0.65,98.1,0.57,0,0,0,0.2,11,0,35,,,,,,,,,,,,,,
Gekko,Murlock,62,5,18,5,0.28,46.4,0.68,1,0,1,0.09,5,2,18,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animegirlthighs,Afterhours,Clove Hater,15,-,13,,Lotus,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
