AGENT,PLAYER,AVG COMBAT SCORE,K,D,A,K/D,ADR,KAST,FK,FD,FDD,HS%,PLANTS,DEFUSES,ECON RATING,,,,,,,,,,,,,,
Raze,fürte,324,25,17,6,1.47,211.2,0.83,4,2,2,0.14,0,0,79,,,,,,,,,,,,,,
Jett,FireBucklerMan,289,24,11,7,2.18,195.9,0.91,3,0,3,0.17,1,1,96,,,,,,,,,,,,,,
Raze,Jan JürgenXXL,230,18,20,1,0.90,154.1,0.78,1,2,-1,0.2,0,0,61,,,,,,,,,,,,,,
Iso,Azore,226,19,18,3,1.06,148,0.65,2,3,-1,0.28,1,0,73,,,,,,,,,,,,,,
Astra,Mengoura,222,21,15,1,1.40,143.8,0.78,3,1,2,0.36,0,0,59,,,,,,,,,,,,,,
Gekko,FalconZz,193,15,17,6,0.88,121.1,0.65,3,4,-1,0.2,7,1,49,,,,,,,,,,,,,,
Fade,звифт,189,15,19,6,0.79,117,0.52,2,4,-2,0.2,1,0,47,,,,,,,,,,,,,,
Viper,GRAT1S,131,10,16,6,0.62,83.8,0.65,2,3,-1,0.21,0,0,55,,,,,,,,,,,,,,
Gekko,magmoz,129,10,15,10,0.67,81.1,0.65,2,3,-1,0.12,9,2,34,,,,,,,,,,,,,,
Brimstone,neo,89,7,16,7,0.44,52.2,0.57,1,1,0,0.09,2,0,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crude Geniuses,Afterhours,,13,-,10,,Bind,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
