AGENT,PLAYER,AVG COMBAT SCORE,K,D,A,K/D,ADR,KAST,FK,FD,FDD,HS%,PLANTS,DEFUSES,ECON RATING,,,,,,,,,,,,,,
Raze,Owen,323,26,16,1,1.62,205,0.71,6,1,5,0.31,1,1,80,,,,,,,,,,,,,,
Raze,Jan JürgenXXL,264,19,13,5,1.46,168.5,0.86,5,2,3,0.2,0,0,78,,,,,,,,,,,,,,
Gekko,FalconZz,264,23,9,3,2.56,188.3,0.9,1,2,-1,0.28,10,1,81,,,,,,,,,,,,,,
Fade,звифт,252,19,15,4,1.27,137.1,0.67,4,4,0,0.19,0,1,45,,,,,,,,,,,,,,
Iso,Azore,197,16,13,1,1.23,123.3,0.71,1,1,0,0.35,1,0,54,,,,,,,,,,,,,,
Cypher,teefal,158,10,17,6,0.59,112.5,0.57,0,1,-1,0.11,0,1,42,,,,,,,,,,,,,,
Gekko,Evenkhell,149,11,16,5,0.69,98.1,0.62,2,3,-1,0.38,2,3,40,,,,,,,,,,,,,,
Brimstone,GLVNZ felityy,132,8,18,6,0.44,88,0.62,0,2,-2,0.18,1,0,32,,,,,,,,,,,,,,
Brimstone,neo,108,8,11,6,0.73,71.5,0.86,0,1,-1,0.07,0,1,33,,,,,,,,,,,,,,
Viper,ShowMeSunset,96,6,18,2,0.33,64.5,0.33,2,4,-2,0.22,0,1,27,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afterhours,Instalockers,,13,-,8,,Bind,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
