AGENT,PLAYER,AVG COMBAT SCORE,K,D,A,K/D,ADR,KAST,FK,FD,FDD,HS%,PLANTS,DEFUSES,ECON RATING,,,,,,,,,,,,,,
Jett,Chaza,444,24,7,4,3.43,251,0.75,5,3,2,0.2,0,0,122,,,,,,,,,,,,,,
Cypher,Zenyth,250,15,4,6,3.75,171.4,0.94,1,0,1,0.35,0,2,85,,,,,,,,,,,,,,
Sova,GMT L1gh7,183,9,14,1,0.64,116.9,0.5,0,0,0,0.16,1,0,47,,,,,,,,,,,,,,
Omen,はちみつパン,171,11,7,4,1.57,104.2,0.88,1,2,-1,0.24,0,0,62,,,,,,,,,,,,,,
Neon,swindler,161,9,14,1,0.64,92.4,0.44,5,4,1,0.48,0,0,37,,,,,,,,,,,,,,
Breach,miko,160,8,7,9,1.14,116.8,0.81,1,0,1,0.23,2,0,64,,,,,,,,,,,,,,
Sova,anskuhi,151,11,6,3,1.83,96.4,0.94,1,2,-1,0.33,1,0,53,,,,,,,,,,,,,,
Omen,Asm0deus,143,7,14,7,0.50,79.9,0.62,1,1,0,0.18,2,0,32,,,,,,,,,,,,,,
Breach,Malimon,103,4,13,3,0.31,78.6,0.44,0,2,-2,0.24,1,0,31,,,,,,,,,,,,,,
Cypher,VOLATILEdog,43,2,14,3,0.14,23.4,0.38,1,2,-1,0.08,0,1,9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number 22,The Robots,,13,-,3,,Haven,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
